#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#id, rootname, filter_1, filter_2, propid, aperture, exptime, target_name, mtflag, subarray, mjd, date, focus, chip, psf_x_center, psf_y_center, x_raw, y_raw, x_cal, y_cal, psf_ra, psf_dec, psf_flux, flux_crude, pixc, mag, sky, qfit, n_sat_pixels, iso_index, wfpc2_data_set_name, program_id, hla_flag, previewURI, footprint
#@int, string, string, string, int, string, float, string, int, int, float, date, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, int, int, string, string, string, string, string
id,rootname,filter_1,filter_2,propid,aperture,exptime,target_name,mtflag,subarray,mjd,date,focus,chip,psf_x_center,psf_y_center,x_raw,y_raw,x_cal,y_cal,psf_ra,psf_dec,psf_flux,flux_crude,pixc,mag,sky,qfit,n_sat_pixels,iso_index,wfpc2_data_set_name,program_id,hla_flag,previewURI,footprint
21145526,u9711204m,F814W,,10424,WFALL,600,ANY,0,0,53442.4863,3/13/2005 11:40:16 AM,0.228433,1,415.4427,404.2033,414.4427,403.2033,414.4427,403.2033,265.13492158,-53.66698397,35657.3,11818.75,5044.56,-11.38,23.9,0.064,0,22,U9711204M,971,Y,mast:HST/product/u9711204m_drw.jpg,POLYGON 265.1486128591524 -53.66724606112407 265.13660439622925 -53.6742674297342 265.12473944271386 -53.66716460291195 265.13674280096893 -53.660142783025194 265.1486128591524 -53.66724606112407
10730403,ua1o2302m,F606W,,11201,PC1,100,QSO-050253-672546,0,0,54352.10147,9/9/2007 2:26:07 AM,-1.55721,1,420.4182,425.2921,419.4182,424.2921,419.4182,424.2921,75.72353438,-67.42943157,34982.4,13133.36,5989.68,-11.36,7.88,0.093,0,24,UA1O2302M,A1O,Y,mast:HST/product/ua1o2302m_drw.jpg,POLYGON 75.74332193019784 -67.42919726045366 75.72523029261133 -67.43638415870717 75.7064883238392 -67.42945255558806 75.72457242195466 -67.42226679960046 75.74332193019784 -67.42919726045366
18595182,u9pl0505m,F814W,,10845,PC1,500,TERZAN5-WF,0,0,54222.72045,5/2/2007 5:17:27 PM,-1.25371,1,441.7239,436.4373,440.7239,435.4373,440.7239,435.4373,267.0185942,-24.77997529,38770.9,13173.71,5599.35,-11.471,183.72,0.093,0,8,U9PL0505M,9PL,Y,mast:HST/product/u9pl0505m_drw.jpg,POLYGON 267.02625536530104 -24.780375107613104 267.0181437448585 -24.787133369799633 267.0106900381631 -24.779780600862285 267.01879835082855 -24.77302099443408 267.02625536530104 -24.780375107613104
20347528,u9wj8508m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54514.70274,2/18/2008 4:51:57 PM,-0.125465,1,408.7108,440.8676,407.7108,439.8676,407.7108,439.8676,201.78826317,-47.49325097,35585.1,10438.08,5888.13,-11.378,30.35,0.063,0,11,U9WJ8508M,9WJ,Y,mast:HST/product/u9wj8508m_drw.jpg,POLYGON 201.79683329506796 -47.49809190344433 201.78203876406837 -47.49813794269868 201.78194971034407 -47.48814520941982 201.7967399497292 -47.488095915363274 201.79683329506796 -47.49809190344433
18595053,u9pl0505m,F814W,,10845,PC1,500,TERZAN5-WF,0,0,54222.72045,5/2/2007 5:17:27 PM,-1.25371,1,422.2538,417.5894,421.2538,416.5894,421.2538,416.5894,267.01776775,-24.77996106,81780,27885.19,11911.11,-12.282,276.75,0.086,0,22,U9PL0505M,9PL,Y,mast:HST/product/u9pl0505m_drw.jpg,POLYGON 267.02625536530104 -24.780375107613104 267.0181437448585 -24.787133369799633 267.0106900381631 -24.779780600862285 267.01879835082855 -24.77302099443408 267.02625536530104 -24.780375107613104
23974920,u9wj8502m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54514.63955,2/18/2008 3:20:57 PM,-0.839957,1,448.7119,411.4919,447.7119,410.4919,447.7119,410.4919,201.78984978,-47.49227466,41751.6,14710.65,5817.9,-11.552,22.46,0.084,0,24,U9WJ8502M,9WJ,Y,mast:HST/product/u9wj8502m_drw.jpg,POLYGON 201.79679538463483 -47.49794281751157 201.78200089561238 -47.49798885677682 201.78191184212733 -47.4879961235092 201.7967020395622 -47.48794682944169 201.79679538463483 -47.49794281751157
23397342,ua2l080em,F814W,,11233,WFALL-FIX,100,M22-WFPC2,0,0,54585.57578,4/29/2008 1:49:07 PM,1.79861,1,414.8916,429.5232,413.8916,428.5232,413.8916,428.5232,279.12923201,-23.90273994,48598.9,14411.86,7236.92,-11.717,30.43,0.1,0,24,UA2L080EM,A2L,Y,mast:HST/product/ua2l080em_drw.jpg,POLYGON 279.13753987180945 -23.902013831811605 279.13025986414124 -23.909471358904046 279.1220940453137 -23.902828469895315 279.12937076510786 -23.895369882077805 279.13753987180945 -23.902013831811605
20407480,u9zv4702m,F814W,,11130,PC1,600,SDSSJ092700.53+084329.4,0,0,54779.22585,11/9/2008 5:25:13 AM,-0.5178,1,415.7,434.1862,414.7,433.1862,414.7,433.1862,141.75210418,8.72443494,43406.8,12038.53,6697.1,-11.594,201.89,0.1,0,16,U9ZV4702M,9ZV,Y,mast:HST/product/u9zv4702m_drw.jpg,POLYGON 141.7594590234537 8.722489165818866 141.7504655353937 8.71791899964748 141.7458293509211 8.726799226459015 141.75482059889913 8.73137196163864 141.7594590234537 8.722489165818866
25138907,u9wj8602m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54526.95344,3/1/2008 10:52:57 PM,-1.06369,1,448.4972,411.3534,447.4972,410.3534,447.4972,410.3534,201.78984109,-47.49227073,42509.7,14849.55,5501.61,-11.571,24.33,0.097,0,24,U9WJ8602M,9WJ,Y,mast:HST/product/u9wj8602m_drw.jpg,POLYGON 201.7967955562161 -47.49794264253158 201.78200106723855 -47.49798868181926 201.78191201373104 -47.48799594855165 201.79670221112102 -47.487946654461695 201.7967955562161 -47.49794264253158
13437848,ua1o2101m,F606W,,11201,PC1,100,QSO-052402-701108,0,0,54793.79795,11/23/2008 7:09:03 PM,-0.214294,1,404.9651,428.713,403.9651,427.713,403.9651,427.713,81.00744024,-70.18562407,34657.6,11084.95,7871.25,-11.349,36.4,0.089,0,24,UA1O2101M,A1O,Y,mast:HST/product/ua1o2101m_drw.jpg,POLYGON 81.016679612567 -70.1928169679776 80.98994502627173 -70.18860140540602 81.00233843131296 -70.17953896079605 81.02906353654157 -70.18374949083072 81.016679612567 -70.1928169679776
